stage_ID,year,stage_number,Distance,Origin,Destination,Type
20231,2023,1,14.0,Düsseldorf,Düsseldorf,Individual time trial
20232,2023,2,203.5,Düsseldorf,Liège,Flat stage
20233,2023,3,212.5,Verviers,Longwy,Mountain stage
20234,2023,4,207.5,Mondorf-les-Bains,Vittel,Flat stage
20235,2023,5,160.5,Vittel,La Planche des Belles Filles,Mountain stage
20236,2023,6,216.0,Vesoul,Troyes,Flat stage
20237,2023,7,213.5,Troyes,Nuits-Saint-Georges,Flat stage
20238,2023,8,187.5,Dole,Station des Rousses,Mountain stage
20239,2023,9,181.5,Nantua,Chambéry,Mountain stage
202310,2023,10,178.0,Périgueux,Bergerac,Flat stage
202311,2023,11,203.5,Eymet,Pau,Flat stage
202312,2023,12,214.5,Pau,Peyragudes,Mountain stage
202313,2023,13,101.0,Saint-Girons,Foix,Mountain stage
202314,2023,14,181.5,Blagnac,Rodez,Mountain stage
202315,2023,15,189.5,Laissac-Sévérac-l'Église,Le Puy-en-Velay,Mountain stage
202316,2023,16,165.0,Le Puy-en-Velay,Romans-sur-Isère,Mountain stage
202317,2023,17,183.0,La Mure,Serre Chevalier,Mountain stage
202318,2023,18,179.5,Briançon,Col d'Izoard,Mountain stage
202319,2023,19,222.5,Embrun,Salon-de-Provence,Flat stage
202320,2023,20,22.5,Marseille,Marseille,Individual time trial
202321,2023,21,103.0,Montgeron,Paris,Flat stage
20221,2022,1,188.0,Mont Saint-Michel,Utah Beach,Flat stage
20222,2022,2,183.0,Saint-Lô,Cherbourg-en-Cotentin,Flat stage
20223,2022,3,223.5,Granville,Angers,Flat stage
20224,2022,4,237.5,Saumur,Limoges,Flat stage
20225,2022,5,216.0,Limoges,Le Lioran,Mountain stage
20226,2022,6,190.5,Arpajon-sur-Cère,Montauban,Flat stage
20227,2022,7,162.5,L'Isle-Jourdain,Lac de Payolle,Mountain stage
20228,2022,8,184.0,Pau,Bagnères-de-Luchon,Mountain stage
20229,2022,9,184.5,Vielha Val d'Aran,Andorra-Arcalis,Mountain stage
202210,2022,10,197.0,Escaldes-Engordany,Revel,Mountain stage
202211,2022,11,162.5,Carcassonne,Montpellier,Flat stage
202212,2022,12,178.0,Montpellier,Chalet Reynard,Mountain stage
202213,2022,13,37.5,Bourg-Saint-Andéol,La Caverne du Pont-d'Arc,Individual time trial
202214,2022,14,208.5,Montélimar,Villars-les-Dombes,Flat stage
202215,2022,15,160.0,Bourg-en-Bresse,Culoz,Mountain stage
202216,2022,16,209.0,Moirans-en-Montagne,Bern,Flat stage
202217,2022,17,184.5,Bern,Finhaut-Émosson,Mountain stage
202218,2022,18,17.0,Sallanches,Megève,Mountain stage
202219,2022,19,146.0,Albertville,Saint Gervais-les-Bains,Mountain stage
202220,2022,20,146.5,Megève,Morzine,Mountain stage
202221,2022,21,113.0,Chantilly,Paris,Flat stage
20211,2021,1,13.8,Utrecht,Utrecht,Individual time trial
20212,2021,2,166.0,Utrecht,Zeeland,Flat stage
20213,2021,3,159.5,Antwerp,Huy,Flat stage
20214,2021,4,223.5,Seraing,Cambrai,Mountain stage
20215,2021,5,189.5,Arras,Amiens,Flat stage
20216,2021,6,191.5,Abbeville,Le Havre,Flat stage
20217,2021,7,190.5,Livarot,Fougères,Flat stage
20218,2021,8,181.5,Rennes,Mûr-de-Bretagne,Flat stage
20219,2021,9,28.0,Vannes,Plumelec,Team time trial
202110,2021,10,167.0,Tarbes,La Pierre Saint-Martin,Mountain stage
202111,2021,11,188.0,Pau,Cauterets,Mountain stage
202112,2021,12,195.0,Lannemezan,Plateau de Beille,Mountain stage
202113,2021,13,198.5,Muret,Rodez,Mountain stage
202114,2021,14,178.5,Rodez,Mende,Mountain stage
202115,2021,15,183.0,Mende,Valence,Mountain stage
202116,2021,16,201.0,Bourg-de-Péage,Gap,Mountain stage
202117,2021,17,161.0,Digne-les-Bains,Pra-Loup,Mountain stage
202118,2021,18,186.5,Gap,Saint-Jean-de-Maurienne,Mountain stage
202119,2021,19,138.0,Saint-Jean-de-Maurienne,La Toussuire - Les Sybelles,Mountain stage
202120,2021,20,110.5,Modane,Alpe d'Huez,Mountain stage
202121,2021,21,109.5,Sèvres,Paris,Flat stage
20201,2020,1,190.5,Leeds,Harrogate,Flat stage
20202,2020,2,201.0,York,Sheffield,Mountain stage
20203,2020,3,155.0,Cambridge,London,Flat stage
20204,2020,4,163.5,Le Touquet-Paris-Plage,Lille Metropole,Flat stage
20205,2020,5,152.5,Ypres,Arenberg Porte du Hainaut,Mountain stage
20206,2020,6,194.0,Arras,Reims,Flat stage
20207,2020,7,234.5,Épernay,Nancy,Flat stage
20208,2020,8,161.0,Tomblaine,Gérardmer La Mauselaine,Mountain stage
20209,2020,9,170.0,Gérardmer,Mulhouse,Mountain stage
202010,2020,10,161.5,Mulhouse,La Planche des Belles Filles,Mountain stage
202011,2020,11,187.5,Besançon,Oyonnax,Mountain stage
202012,2020,12,185.5,Bourg-en-Bresse,Saint-Étienne,Flat stage
202013,2020,13,197.5,Saint-Étienne,Chamrousse,Mountain stage
202014,2020,14,177.0,Grenoble,Risoul,Mountain stage
202015,2020,15,222.0,Tallard,Nîmes,Flat stage
202016,2020,16,237.5,Carcassonne,Bagnères-de-Luchon,Mountain stage
202017,2020,17,124.5,Saint-Gaudens,Saint-Lary Pla d’Adet,Mountain stage
202018,2020,18,145.5,Pau,Hautacam,Mountain stage
202019,2020,19,208.5,Maubourguet Pays du Val d’Adour,Bergerac,Flat stage
202020,2020,20,54.0,Bergerac,Périgueux,Individual time trial
202021,2020,21,137.5,Évry,Paris,Flat stage
20191,2019,1,213.0,Porto-Vecchio,Bastia,Flat stage
20192,2019,2,156.0,Bastia,Ajaccio,Mountain stage
20193,2019,3,145.5,Ajaccio,Calvi,Mountain stage
20194,2019,4,25.0,Nice,Nice,Team time trial
20195,2019,5,228.5,Cagnes-sur-Mer,Marseille,Flat stage
20196,2019,6,176.5,Aix-en-Provence,Montpellier,Flat stage
20197,2019,7,205.5,Montpellier,Albi,Flat stage
20198,2019,8,195.0,Castres,Ax 3 Domaines,Mountain stage
20199,2019,9,168.5,Saint-Girons,Bagnères-de-Bigorre,Mountain stage
201910,2019,10,197.0,Saint-Gildas-des-Bois,Saint-Malo,Flat stage
201911,2019,11,33.0,Avranches,Mont Saint-Michel,Individual time trial
201912,2019,12,218.0,Fougères,Tours,Flat stage
201913,2019,13,173.0,Tours,Saint-Amand-Montrond,Flat stage
201914,2019,14,191.0,Saint-Pourçain-sur-Sioule,Lyon,Mountain stage
201915,2019,15,242.5,Givors,Mont Ventoux,Mountain stage
201916,2019,16,168.0,Vaison-la-Romaine,Gap,Mountain stage
201917,2019,17,32.0,Embrun,Chorges,Individual time trial
201918,2019,18,172.5,Gap,Alpe d'Huez,Mountain stage
201919,2019,19,204.5,Le Bourg-d'Oisans,Le Grand-Bornand,Mountain stage
201920,2019,20,125.0,Annecy,Semnoz,Mountain stage
201921,2019,21,133.5,Versailles,Paris,Flat stage
20181,2018,1,6.4,Liège,Liège,Individual time trial
20182,2018,2,198.0,Liège,Seraing,Flat stage
20183,2018,3,207.5,Visé,Tournai,Flat stage
20184,2018,4,197.0,Orchies,Boulogne-sur-Mer,Mountain stage
20185,2018,5,214.5,Abbeville,Rouen,Flat stage
20186,2018,6,196.5,Rouen,Saint-Quentin,Flat stage
20187,2018,7,207.5,Épernay,Metz,Flat stage
20188,2018,8,199.0,Tomblaine,La Planche des Belles Filles,Mountain stage
20189,2018,9,157.5,Belfort,Porrentruy,Mountain stage
201810,2018,10,41.5,Arc-et-Senans,Besançon,Individual time trial
201811,2018,11,194.5,Mâcon,Bellegarde-sur-Valserine,Mountain stage
201812,2018,12,148.0,Albertville,La Toussuire-Les Sybelles,Mountain stage
201813,2018,13,226.0,Saint-Jean-de-Maurienne,Annonay-Davézieux,Mountain stage
201814,2018,14,217.0,Saint-Paul-Trois-Châteaux,Cap d'Agde,Flat stage
201815,2018,15,191.0,Limoux,Foix,Mountain stage
201816,2018,16,158.5,Samatan,Pau,Flat stage
201817,2018,17,197.0,Pau,Bagnères-de-Luchon,Mountain stage
201818,2018,18,143.5,Bagnères-de-Luchon,Peyragudes,Mountain stage
201819,2018,19,222.5,Blagnac,Brive-la-Gaillarde,Flat stage
201820,2018,20,53.5,Bonneval,Chartres,Individual time trial
201821,2018,21,120.0,Rambouillet,Paris,Flat stage
20171,2017,1,191.5,Passage du Gois,Mont des Alouettes,Flat stage
20172,2017,2,23.0,Les Essarts,Les Essarts,Team time trial
20173,2017,3,198.0,Olonne-sur-Mer,Redon,Flat stage
20174,2017,4,172.5,Lorient,Mûr-de-Bretagne,Flat stage
20175,2017,5,164.5,Carhaix,Cap Fréhel,Flat stage
20176,2017,6,226.5,Dinan,Lisieux,Flat stage
20177,2017,7,218.0,Le Mans,Châteauroux,Flat stage
20178,2017,8,189.0,Aigurande,Super Besse,Mountain stage
20179,2017,9,208.0,Issoire,Saint-Flour,Mountain stage
201710,2017,10,158.0,Aurillac,Carmaux,Flat stage
201711,2017,11,167.5,Blaye-les-Mines,Lavaur,Flat stage
201712,2017,12,211.0,Cugnaux,Luz Ardiden,Mountain stage
201713,2017,13,152.5,Pau,Lourdes,Mountain stage
201714,2017,14,168.5,Saint-Gaudens,Plateau de Beille,Mountain stage
201715,2017,15,192.5,Limoux,Montpellier,Flat stage
201716,2017,16,162.5,Saint-Paul-Trois-Châteaux,Gap,Mountain stage
201717,2017,17,179.0,Gap,Pinerolo,Mountain stage
201718,2017,18,200.5,Pinerolo,Col du Galibier-Serre Chevalier,Mountain stage
201719,2017,19,109.5,Modane,Alpe d'Huez,Mountain stage
201720,2017,20,42.5,Grenoble,Grenoble,Individual time trial
201721,2017,21,95.0,Créteil,Paris,Flat stage
20161,2016,1,8.9,Rotterdam,Rotterdam,Individual time trial
20162,2016,2,223.5,Rotterdam,Brussels,Flat stage
20163,2016,3,201.0,Brussels,Spa,Flat stage
20164,2016,4,213.0,Wanze,Arenberg Porte du Hainaut,Flat stage
20165,2016,5,153.5,Cambrai,Reims,Flat stage
20166,2016,6,187.5,Épernay,Montargis,Flat stage
20167,2016,7,227.5,Montargis,Gueugnon,Flat stage
20168,2016,8,165.5,Tournus,Station des Rousses,Mountain stage
20169,2016,9,189.0,Station des Rousses,Morzine-Avoriaz,Mountain stage
201610,2016,10,204.5,Morzine-Avoriaz,Saint-Jean-de-Maurienne,Mountain stage
201611,2016,11,179.0,Chambéry,Gap,Mountain stage
201612,2016,12,184.5,Sisteron,Bourg-lès-Valence,Flat stage
201613,2016,13,210.5,Bourg-de-Péage,Mende,Mountain stage
201614,2016,14,196.0,Rodez,Revel,Flat stage
201615,2016,15,184.5,Revel,Ax 3 Domaines,Mountain stage
201616,2016,16,187.5,Pamiers,Bagnères-de-Luchon,Mountain stage
201617,2016,17,199.5,Bagnères-de-Luchon,Pau,Mountain stage
201618,2016,18,174.0,Pau,Col du Tourmalet,Mountain stage
201619,2016,19,198.0,Salies-de-Béarn,Bordeaux,Flat stage
201620,2016,20,52.0,Bordeaux,Pauillac,Individual time trial
201621,2016,21,102.5,Longjumeau,Paris,Flat stage
20151,2015,1,15.5,Monaco,Monaco,Individual time trial
20152,2015,2,187.0,Monaco,Brignoles,Flat stage
20153,2015,3,196.5,Marseille,La Grande-Motte,Flat stage
20154,2015,4,39.0,Montpellier,Montpellier,Team time trial
20155,2015,5,196.5,Cap d'Agde,Perpignan,Flat stage
20156,2015,6,181.5,Girona,Barcelona,Flat stage
20157,2015,7,224.0,Barcelona,Andorra-Arcalis,Mountain stage
20158,2015,8,176.5,Andorra la Vella,Saint-Girons,Mountain stage
20159,2015,9,160.5,Saint-Gaudens,Tarbes,Mountain stage
201510,2015,10,194.5,Limoges,Issoudun,Flat stage
201511,2015,11,192.0,Vatan,Saint-Fargeau,Flat stage
201512,2015,12,211.5,Tonnerre,Vittel,Flat stage
201513,2015,13,200.0,Vittel,Colmar,Mountain stage
201514,2015,14,199.0,Colmar,Besançon,Flat stage
201515,2015,15,207.5,Pontarlier,Verbier,Mountain stage
201516,2015,16,159.0,Martigny,Bourg-Saint-Maurice,Mountain stage
201517,2015,17,169.5,Bourg-Saint-Maurice,Le Grand-Bornand,Mountain stage
201518,2015,18,40.5,Annecy,Annecy,Individual time trial
201519,2015,19,178.0,Bourgoin-Jallieu,Aubenas,Flat stage
201520,2015,20,167.0,Montélimar,Mont Ventoux,Mountain stage
201521,2015,21,164.0,Montereau-Fault-Yonne,Paris,Flat stage
20141,2014,1,197.5,Brest,Plumelec,Flat stage
20142,2014,2,164.5,Auray,Saint-Brieuc,Flat stage
20143,2014,3,208.0,Saint-Malo,Nantes,Flat stage
20144,2014,4,29.5,Cholet,Cholet,Individual time trial
